Time period and codes,Total Services,Clothing and footwear,Cleaning and hire of clothing,Repair and hire of footwear,"Housing, water, electricity, gas and other fuel",Actual rentals for housing,Actual rentals paid by tenants,Other actual rentals,Imputed rentals for housing,Imputed rentals for owner-occupiers,Other imputed rentals,Maintenance and repair of the dwelling services,Refuse collection,Sewerage collection,Other services relating to the dwelling,Household services,"Repair of furniture, furnishings and floor coverings",Repair of household appliances,Domestic and household services,Health,Out-patient services,Medical services,Dental services,Paramedical services,Hospital services,Transport,Maintenance and repair of personal transport equipment,Other services in respect of personal transport equipment,Transport services,Rail,Road,Air,Sea and inland waterway,Other purchased transport services,Communication,Postal services,Telephone and telefax services,Recreation and culture,Repairs of audio-visual etc equipment,Maintenance and repairs of other major durables,Veterinary and other services for pets,Recreational and cultural services,Recreational and sporting services,Cultural services,Games of chance,"Package holidays
[note 2]",Education,Restaurant and hotels,Catering services,"Restaurants, cafes etc
[note 3][note 4]",Canteens,Accommodation,Miscellaneous,Hairdressing salons and personal grooming establishments,Prostitution,Social protection,Insurance,Life insurance,Insurance connected with the dwelling,Insurance connected with health,Insurance connected with transport,Other insurance,"Financial services n.e.c
[note 7]","FISIM
[note 5]","Other financial services n.e.c
[note 7]","Other services n.e.c
[note 7]",,
COICOP identifier code,TS,TS03,03.1.4,03.2.2,TS04,04.1,04.1.1,04.1.2,04.2,04.2.1,04.2.2,04.3.2,04.4.2,04.4.3,04.4.4,TS05,05.1.3,05.3.3,05.6.2,TS06,06.2,06.2.1,06.2.2,06.2.3,06.3,TS07,07.2.3,07.2.4,07.3,07.3.1,07.3.2,07.3.3,07.3.4,07.3.6,TS08,08.1,08.3,TS09,09.1.5,09.2.3,09.3.5,09.4,09.4.1,09.4.2,09.4.3,09.6,10,11,11.1,11.1.1,11.1.2,11.2,TS12,12.1.1,12.2,12.4,12.5,12.5.1,12.5.2,12.5.3,12.5.4,12.5.5,12.6,12.6.1,12.6.2,12.7,,
CDID identifier code,UTIM,LLJD,ADUT,AWTX,LLJE,ADFT,ADUX,ADUY,ADFU,CDDF,ADVB,AWTY,UUOX,ADVG,UUOY,LLJF,ADVO,ADVR,ADVV,LLJG,ADGR,ADVW,ADVX,UTME,ADGS,LLJH,AWTZ,ADWG,ADGW,AWUA,ADWI,AWUB,AWUC,AWUD,LLJI,CDEF,ADWP,LLJJ,ADWU,ADWX,ADXC,ADIA,ADXD,ADXE,CDEM,ADID,ADIE,ADIF,ADIG,ADXO,ADXP,ADIH,LLJK,CDEV,MNC8,ADIL,ADIM,ADXW,ADXX,ADXY,ADXZ,ADYA,ADIN,C68S,ADYC,ADIO,,
1997 Q1,"80,818",169,154,15,"35,309","5,917","5,899",18,"28,605","27,678",927,182,19,586, [x] ,666,7,115,544,"1,530",937,570,298,69,593,"7,489","2,406",799,"4,284",860,"1,185","1,623",411,205,"3,097",232,"2,865","4,988",56,301,210,"4,421",938,"1,821","1,662",[x],"1,390","12,735","10,695","9,710",985,"2,040","13,445",743,510,"1,415","3,617","2,283",299,358,303,374,"5,165","2,623","2,542","1,995",,
1997 Q2,"86,220",170,155,15,"35,713","6,023","6,004",19,"28,878","27,936",942,174,19,619, [x] ,565,7,44,514,"1,491",887,531,296,60,604,"8,415","2,562",845,"5,008",907,"1,389","2,127",343,242,"3,150",255,"2,895","5,558",50,305,209,"4,994",996,"2,207","1,791",[x],"1,418","15,725","12,693","11,517","1,176","3,032","14,015",744,516,"1,405","3,869","2,383",315,401,370,400,"5,497","2,973","2,524","1,984",,
1997 Q3,"89,426",165,151,14,"35,928","6,053","6,033",20,"29,072","28,113",959,162,20,621, [x] ,635,8,108,519,"1,497",878,520,295,63,619,"9,953","2,591",830,"6,532","1,004","1,520","3,015",699,294,"3,167",199,"2,968","5,475",49,303,197,"4,926",975,"2,167","1,784",[x],"1,453","16,507","12,874","11,883",991,"3,633","14,646",741,524,"1,423","3,797","2,452",290,361,329,365,"6,034","3,351","2,683","2,127",,
1997 Q4,"87,741",166,147,19,"36,106","6,072","6,052",20,"29,230","28,255",975,161,20,623, [x] ,634,8,92,534,"1,621",989,593,323,73,632,"8,417","2,578",768,"5,071",938,"1,593","1,855",467,218,"3,437",434,"3,003","5,468",55,307,197,"4,909",923,"2,219","1,767",[x],"1,489","15,760","13,218","12,143","1,075","2,542","14,643",774,529,"1,407","3,623","2,566",259,280,201,317,"6,225","3,395","2,830","2,085",,
1998 Q1,"85,815",163,143,20,"36,656","6,350","6,329",21,"29,489","28,505",984,172,20,625, [x] ,646,9,93,544,"1,589",979,554,346,79,610,"8,142","2,587",866,"4,689",887,"1,305","1,822",459,216,"3,168",179,"2,989","5,356",61,309,203,"4,783",927,"2,052","1,804",[x],"1,531","13,589","11,424","10,251","1,173","2,165","14,975",801,536,"1,392","3,891","2,542",288,365,332,364,"6,430","3,535","2,895","1,925",,
1998 Q2,"90,612",170,147,23,"37,021","6,450","6,429",21,"29,751","28,760",991,136,21,663, [x] ,582,7,46,529,"1,610",982,549,350,83,628,"8,972","2,657",874,"5,441",923,"1,545","2,316",406,251,"3,295",159,"3,136","5,654",63,311,222,"5,058",987,"2,296","1,775",[x],"1,573","16,003","12,909","11,682","1,227","3,094","15,732",833,544,"1,356","4,027","2,645",290,373,351,368,"6,693","3,523","3,170","2,279",,
1998 Q3,"94,187",181,157,24,"37,349","6,499","6,478",21,"30,060","29,055","1,005",120,20,650, [x] ,676,9,117,550,"1,524",898,506,323,69,626,"10,432","2,685",927,"6,820","1,008","1,600","3,218",687,307,"3,319",141,"3,178","5,695",63,314,231,"5,087","1,018","2,302","1,767",[x],"1,614","17,434","13,693","12,617","1,076","3,741","15,963",861,551,"1,391","3,910","2,750",252,309,283,316,"7,068","3,664","3,404","2,182",,
1998 Q4,"92,519",196,171,25,"37,953","6,579","6,557",22,"30,580","29,557","1,023",141,19,634, [x] ,676,10,104,562,"1,475",875,516,299,60,600,"8,984","2,678",786,"5,520",952,"1,599","2,233",513,223,"3,520",306,"3,214","5,701",58,317,251,"5,075",966,"2,353","1,756",[x],"1,654","16,714","14,133","12,963","1,170","2,581","15,646",890,562,"1,364","3,614","2,856",199,199,120,240,"6,791","3,518","3,273","2,425",,
1999 Q1,"90,694",198,176,22,"38,177","6,489","6,467",22,"30,896","29,838","1,058",168,19,605, [x] ,631,10,87,534,"1,415",840,501,285,54,575,"8,012","2,653",898,"4,461",904,"1,317","1,923",85,232,"3,373",165,"3,208","5,486",49,320,255,"4,862","1,015","2,121","1,726",[x],"1,758","14,459","12,168","10,947","1,221","2,291","17,185",909,573,"1,306","3,856","2,593",277,340,298,348,"7,989","4,488","3,501","2,552",,
1999 Q2,"94,625",206,185,21,"38,713","6,464","6,441",23,"31,478","30,394","1,084",140,17,614, [x] ,636,10,75,551,"1,489",894,554,285,55,595,"9,610","2,756",933,"5,921",918,"1,533","2,461",727,282,"3,354",160,"3,194","5,821",46,324,266,"5,185","1,068","2,393","1,724",[x],"1,714","16,635","13,626","12,359","1,267","3,009","16,447",926,585,"1,342","3,861","2,685",277,313,244,342,"7,346","3,785","3,561","2,387",,
1999 Q3,"97,650",211,192,19,"39,239","6,537","6,513",24,"31,909","30,801","1,108",164,16,613, [x] ,743,10,149,584,"1,405",822,477,289,56,583,"11,530","2,843",961,"7,726",962,"1,604","3,495","1,301",364,"3,420",138,"3,282","6,147",49,328,259,"5,511","1,103","2,671","1,737",[x],"1,688","18,140","14,318","13,195","1,123","3,822","15,127",935,596,"1,433","3,922","2,766",253,308,277,318,"6,175","2,740","3,435","2,066",,
1999 Q4,"96,303",212,196,16,"39,703","6,644","6,620",24,"32,241","31,122","1,119",170,17,631, [x] ,730,11,89,630,"1,398",806,465,286,55,592,"8,864","2,823",820,"5,221",996,"1,658","2,267",45,255,"3,649",287,"3,362","6,123",62,328,252,"5,481","1,026","2,703","1,752",[x],"1,691","17,461","14,865","13,586","1,279","2,596","16,472",944,607,"1,428","4,093","2,819",271,343,319,341,"7,050","3,323","3,727","2,350",,
2000 Q1,"95,049",209,196,13,"39,958","6,730","6,706",24,"32,353","31,223","1,130",174,16,685, [x] ,718,11,93,614,"1,362",774,429,291,54,588,"8,486","2,845",970,"4,671","1,002","1,410","1,986",14,259,"3,596",133,"3,463","6,011",58,332,257,"5,364","1,147","2,482","1,735",[x],"1,465","15,261","12,866","11,466","1,400","2,395","17,983",970,618,"1,430","3,880","2,755",232,289,259,345,"8,509","4,627","3,882","2,576",,
2000 Q2,"99,357",214,201,13,"40,063","6,894","6,870",24,"32,371","31,243","1,128",173,18,607, [x] ,742,11,85,646,"1,349",757,403,300,54,592,"10,296","2,899",932,"6,465","1,038","1,693","2,746",666,322,"3,616",131,"3,485","6,474",57,334,264,"5,819","1,233","2,858","1,728",[x],"1,732","17,531","14,245","12,938","1,307","3,286","17,340",993,628,"1,494","3,874","2,807",217,273,251,326,"8,455","4,593","3,862","1,896",,
2000 Q3,"104,266",222,209,13,"40,381","6,987","6,964",23,"32,601","31,475","1,126",157,21,615, [x] ,836,12,145,679,"1,496",858,478,317,63,638,"12,503","2,976","1,027","8,500","1,104","1,846","3,858","1,280",412,"3,690",136,"3,554","6,747",52,337,273,"6,085","1,273","3,003","1,809",[x],"1,899","19,173","15,143","13,939","1,204","4,030","17,319","1,015",640,"1,558","3,977","2,850",254,315,290,268,"8,131","4,353","3,778","1,998",,
2000 Q4,"100,547",226,213,13,"40,860","7,013","6,990",23,"32,999","31,874","1,125",206,27,615, [x] ,812,14,91,707,"1,426",818,420,323,75,608,"9,707","2,905",904,"5,898",993,"1,873","2,519",225,288,"3,862",304,"3,558","6,358",58,341,264,"5,695","1,163","2,785","1,747",[x],"1,976","18,555","15,599","14,236","1,363","2,956","16,765","1,050",653,"1,567","3,501","2,895",161,173,129,143,"7,038","3,236","3,802","2,956",,
2001 Q1,"98,443",212,198,14,"41,362","7,042","7,019",23,"33,472","32,332","1,140",206,34,608, [x] ,825,15,95,715,"1,843","1,132",746,307,79,711,"8,944","2,826",984,"5,134",952,"1,522","2,206",183,271,"3,735",181,"3,554","6,148",58,340,247,"5,503","1,346","2,355","1,802",[x],"1,948","15,959","13,321","12,045","1,276","2,638","17,467","1,084",665,"1,486","3,675","2,408",356,387,271,253,"8,140","4,321","3,819","2,417",,
2001 Q2,"102,540",184,168,16,"41,725","6,997","6,974",23,"33,856","32,699","1,157",199,37,636, [x] ,709,16,80,613,"1,704","1,040",665,292,83,664,"10,580","2,882",927,"6,771","1,003","1,707","2,910",820,331,"3,641",166,"3,475","6,770",55,341,227,"6,147","1,444","2,857","1,846",[x],"2,028","17,862","14,702","13,578","1,124","3,160","17,337","1,117",678,"1,596","4,350","2,403",416,526,479,526,"7,430","3,537","3,893","2,166",,
2001 Q3,"107,690",167,149,18,"42,077","7,083","7,060",23,"34,115","32,940","1,175",213,30,636, [x] ,811,15,133,663,"1,641",983,620,285,78,658,"12,495","3,097","1,094","8,304","1,040","1,806","3,974","1,058",426,"3,683",173,"3,510","7,065",57,349,238,"6,421","1,421","3,117","1,883",[x],"2,073","19,893","15,671","14,625","1,046","4,222","17,785","1,148",690,"1,673","4,554","2,413",410,528,497,706,"7,451","3,622","3,829","2,269",,
2001 Q4,"102,145",160,142,18,"42,562","7,176","7,152",24,"34,493","33,299","1,194",228,24,641, [x] ,752,5,103,644,"1,635",988,608,292,88,647,"9,807","3,149",956,"5,702","1,017","1,768","2,323",305,289,"3,932",346,"3,586","6,381",60,354,236,"5,731","1,251","2,600","1,880",[x],"2,080","18,714","15,991","14,806","1,185","2,723","16,122","1,129",701,"1,534","4,047","2,380",373,449,380,465,"6,523","2,502","4,021","2,188",,
2002 Q1,"100,456",164,147,17,"42,861","7,318","7,293",25,"34,591","33,374","1,217",251,47,654, [x] ,700,8,96,596,"1,915","1,199",788,307,104,716,"9,477","3,260","1,078","5,139",953,"1,492","2,259",147,288,"3,669",142,"3,527","7,032",58,359,249,"6,366","1,478","2,952","1,936",[x],"2,056","16,386","13,944","12,770","1,174","2,442","16,196","1,132",712,"1,548","2,999","1,646",372,357,182,442,"7,568","3,593","3,975","2,237",,
2002 Q2,"105,938",171,153,18,"43,053","7,583","7,558",25,"34,522","33,289","1,233",222,51,675, [x] ,783,2,72,709,"1,801","1,110",668,323,119,691,"10,899","3,359","1,035","6,505",974,"1,650","2,697",843,341,"3,745",115,"3,630","7,446",47,365,238,"6,796","1,530","3,314","1,952",[x],"2,022","18,802","15,405","14,344","1,061","3,397","17,216","1,154",723,"1,728","3,542","1,617",434,517,432,542,"7,756","3,488","4,268","2,313",,
2002 Q3,"111,029",165,148,17,"43,442","7,854","7,828",26,"34,636","33,386","1,250",229,47,676, [x] ,737,2,109,626,"1,705","1,024",594,325,105,681,"13,132","3,468","1,189","8,475",976,"1,760","3,956","1,356",427,"3,767",105,"3,662","7,717",42,370,248,"7,057","1,731","3,368","1,958",[x],"1,989","20,842","16,256","15,292",964,"4,586","17,533","1,177",734,"1,416","3,890","1,596",474,621,593,606,"8,107","3,901","4,206","2,209",,
2002 Q4,"108,159",161,143,18,"44,126","8,121","8,095",26,"35,061","33,789","1,272",229,40,675, [x] ,688,2,80,606,"1,668",987,580,314,93,681,"10,417","3,483",991,"5,943",954,"1,722","2,568",409,290,"3,986",230,"3,756","6,875",43,376,246,"6,210","1,388","2,874","1,948",[x],"1,970","20,019","16,590","15,434","1,156","3,429","18,249","1,191",746,"1,437","4,060","1,598",500,669,651,642,"8,255","4,128","4,127","2,560",,
2003 Q1,"104,453",155,138,17,"44,234","8,280","8,253",27,"35,020","33,719","1,301",222,53,659, [x] ,583,8,70,505,"1,921","1,156",771,298,87,765,"9,624","3,521","1,079","5,024",896,"1,429","2,278",144,277,"3,819",128,"3,691","7,423",47,381,269,"6,726","1,701","3,135","1,890",[x],"1,949","17,390","14,684","13,533","1,151","2,706","17,355","1,184",758,"1,470","3,354","1,689",431,442,270,522,"8,107","4,108","3,999","2,482",,
2003 Q2,"110,319",163,142,21,"44,561","8,192","8,165",27,"35,403","34,084","1,319",223,54,689, [x] ,758,11,74,673,"1,819","1,069",691,278,100,750,"11,040","3,488","1,058","6,494",921,"1,554","2,782",920,317,"3,904",143,"3,761","7,861",43,386,256,"7,176","1,798","3,449","1,929",[x],"1,943","19,965","16,462","15,409","1,053","3,503","18,305","1,181",770,"1,489","4,108","1,713",519,648,574,654,"8,357","4,099","4,258","2,400",,
2003 Q3,"116,329",169,143,26,"45,075","8,208","8,180",28,"35,894","34,561","1,333",236,47,690, [x] ,744,13,108,623,"1,790","1,034",663,269,102,756,"13,308","3,499","1,240","8,569",986,"1,667","4,095","1,402",419,"4,007",152,"3,855","8,149",45,392,243,"7,469","1,838","3,614","2,017",[x],"1,954","22,313","17,374","16,368","1,006","4,939","18,820","1,155",783,"1,360","4,418","1,739",552,726,697,704,"8,744","4,230","4,514","2,360",,
2003 Q4,"113,323",178,147,31,"45,468","8,203","8,176",27,"36,278","34,938","1,340",263,31,693, [x] ,622,19,103,500,"1,814","1,065",691,278,96,749,"10,667","3,431","1,048","6,188","1,047","1,624","2,770",443,304,"4,309",346,"3,963","7,857",50,399,206,"7,202","1,534","3,435","2,233",[x],"1,983","20,947","17,341","16,149","1,192","3,606","19,478","1,163",796,"1,336","4,035","1,758",497,614,540,626,"9,640","4,669","4,971","2,508",,
2004 Q1,"109,731",163,137,26,"45,837","8,376","8,348",28,"36,444","35,100","1,344",281,28,708, [x] ,568,13,86,469,"1,991","1,205",817,301,87,786,"9,790","3,463","1,013","5,314","1,137","1,350","2,377",130,320,"4,211",157,"4,054","7,775",59,404,216,"7,096","1,686","3,369","2,041",[x],"2,031","18,281","15,367","14,170","1,197","2,914","19,084","1,191",807,"1,543","3,907","1,999",474,509,345,580,"9,142","4,615","4,527","2,494",,
2004 Q2,"117,456",154,131,23,"46,077","8,377","8,350",27,"36,621","35,274","1,347",299,38,742, [x] ,787,9,77,701,"2,017","1,227",809,331,87,790,"11,637","3,581","1,149","6,907","1,200","1,525","2,892",903,387,"4,293",132,"4,161","8,446",58,410,233,"7,745","1,871","3,579","2,295",[x],"2,070","21,171","17,201","16,071","1,130","3,970","20,804","1,254",820,"1,566","4,653","2,002",585,715,616,735,"10,082","5,023","5,059","2,429",,
2004 Q3,"123,378",152,130,22,"46,499","8,510","8,483",27,"36,887","35,533","1,354",319,47,736, [x] ,763,4,110,649,"1,831","1,082",650,343,89,749,"14,195","3,742","1,305","9,148","1,275","1,621","4,325","1,451",476,"4,303",141,"4,162","8,265",51,415,266,"7,533","1,850","3,532","2,151",[x],"2,097","23,072","17,738","16,655","1,083","5,334","22,201","1,305",832,"1,524","5,106","2,009",612,842,853,790,"10,697","5,606","5,091","2,737",,
2004 Q4,"119,760",167,144,23,"47,132","8,718","8,691",27,"37,275","35,912","1,363",356,47,736, [x] ,656,2,100,554,"1,996","1,197",772,330,95,799,"12,068","3,883","1,277","6,908","1,369","1,670","3,058",466,345,"4,428",272,"4,156","7,976",49,423,273,"7,231","1,600","3,553","2,078",[x],"2,116","22,174","18,190","16,959","1,231","3,984","21,047","1,359",843,"1,493","4,206","2,047",502,579,456,622,"10,444","5,529","4,915","2,702",,
2005 Q1,"118,520",170,149,21,"47,785","8,948","8,921",27,"37,673","36,272","1,401",388,40,736, [x] ,591,3,93,495,"2,097","1,272",849,317,106,825,"11,411","4,146","1,231","6,034","1,315","1,471","2,769",138,341,"4,305",146,"4,159","8,003",51,422,258,"7,272","1,780","3,471","2,021",[x],"2,125","19,329","16,228","15,043","1,185","3,101","22,704","1,353",854,"1,709","5,353","2,553",616,756,655,773,"10,808","4,924","5,884","2,627",,
2005 Q2,"125,300",167,148,19,"48,569","9,232","9,205",27,"38,095","36,678","1,417",393,41,808, [x] ,946,12,63,871,"2,065","1,238",806,320,112,827,"12,623","3,961","1,230","7,432","1,336","1,763","3,080",896,357,"4,267",131,"4,136","8,640",59,423,266,"7,892","2,181","3,665","2,046",[x],"2,132","22,020","18,003","16,846","1,157","4,017","23,871","1,312",865,"1,739","6,403","2,598",751,"1,038","1,041",975,"10,818","5,251","5,567","2,734",,
2005 Q3,"130,060",160,141,19,"49,174","9,505","9,478",27,"38,397","36,973","1,424",422,33,817, [x] ,763,19,96,648,"2,375","1,439",945,350,144,936,"15,498","4,155","1,441","9,902","1,282","1,936","4,687","1,532",465,"4,340",135,"4,205","8,593",58,435,280,"7,820","1,932","3,636","2,252",[x],"2,167","23,948","18,651","17,588","1,063","5,297","23,042","1,311",876,"1,766","4,979","2,726",554,599,423,677,"11,028","5,423","5,605","3,082",,
2005 Q4,"126,562",168,144,24,"49,513","9,731","9,704",27,"38,505","37,080","1,425",427,25,825, [x] ,917,26,86,805,"2,417","1,454",932,356,166,963,"12,619","3,900","1,375","7,344","1,334","1,995","3,181",498,336,"4,583",272,"4,311","8,574",50,441,322,"7,761","1,674","3,720","2,367",[x],"2,209","22,773","18,801","17,553","1,248","3,972","22,789","1,323",888,"1,665","5,115","2,793",559,620,459,684,"11,120","5,478","5,642","2,678",,
2006 Q1,"122,709",172,148,24,"50,028","9,988","9,961",27,"38,807","37,404","1,403",389,28,816, [x] ,690,23,71,596,"1,783",944,407,338,199,839,"11,462","3,680","1,401","6,381","1,306","1,729","2,813",179,354,"4,502",131,"4,371","8,759",38,447,343,"7,931","2,114","3,622","2,195",[x],"2,255","19,770","16,630","15,384","1,246","3,140","23,288","1,380",900,"1,972","4,780","3,246",327,413,382,412,"11,456","5,253","6,203","2,800",,
2006 Q2,"129,822",178,154,24,"50,665","10,266","10,238",28,"39,118","37,712","1,406",388,39,854, [x] ,912,14,64,834,"1,791",950,427,348,175,841,"13,560","3,922","1,340","8,298","1,275","2,036","3,399","1,160",428,"4,484",112,"4,372","9,450",33,445,358,"8,614","2,324","3,997","2,293",[x],"2,329","22,865","18,638","17,465","1,173","4,227","23,588","1,397",913,"1,914","5,006","3,242",356,477,476,455,"11,616","5,187","6,429","2,742",,
2006 Q3,"135,361",179,155,24,"51,352","10,490","10,461",29,"39,488","38,063","1,425",474,56,844, [x] ,835,11,85,739,"1,988","1,095",570,374,151,893,"16,056","3,847","1,562","10,647","1,274","2,181","4,833","1,819",540,"4,452",124,"4,328","8,980",38,448,378,"8,116","1,905","4,021","2,190",[x],"2,421","24,861","19,061","18,002","1,059","5,800","24,237","1,403",926,"1,926","4,311","3,254",270,276,184,327,"12,553","6,018","6,535","3,118",,
2006 Q4,"130,695",183,159,24,"51,799","10,739","10,709",30,"39,679","38,229","1,450",487,62,832, [x] ,807,7,91,709,"1,992","1,156",585,446,125,836,"12,800","3,658","1,407","7,735","1,305","2,133","3,409",446,442,"4,604",266,"4,338","8,797",43,445,381,"7,928","1,636","3,856","2,436",[x],"2,537","22,891","18,952","17,718","1,234","3,939","24,285","1,371",939,"1,773","4,536","3,254",291,343,283,365,"12,845","6,127","6,718","2,821",,
2007 Q1,"127,625",184,162,22,"52,453","10,936","10,904",32,"40,097","38,594","1,503",531,58,831, [x] ,598,8,87,503,"2,434","1,524",905,498,121,910,"12,040","3,919","1,451","6,670","1,297","1,706","3,028",182,457,"4,504",149,"4,355","9,088",43,437,387,"8,221","2,149","3,793","2,279",[x],"2,693","20,003","16,842","15,641","1,201","3,161","23,628","1,352",954,"2,034","4,356","2,847",410,398,207,494,"12,069","5,429","6,640","2,863",,
2007 Q2,"137,885",186,165,21,"52,933","11,216","11,184",32,"40,313","38,792","1,521",477,43,884, [x] ,752,9,62,681,"2,353","1,463",788,555,120,890,"15,187","4,230","1,435","9,522","1,395","2,126","4,174","1,309",518,"4,456",142,"4,314","9,456",38,441,378,"8,599","2,148","4,128","2,323",[x],"2,809","23,763","19,370","18,198","1,172","4,393","25,990","1,378",968,"1,896","6,099","2,921",652,863,829,834,"12,442","5,660","6,782","3,207",,
2007 Q3,"143,772",187,166,21,"53,475","11,522","11,491",31,"40,538","39,027","1,511",498,32,885, [x] ,806,12,80,714,"2,315","1,395",728,548,119,920,"17,502","4,386","1,707","11,409","1,491","2,347","4,881","2,002",688,"4,581",136,"4,445","9,215",36,446,404,"8,329","1,797","4,296","2,236",[x],"2,884","26,141","20,359","19,287","1,072","5,782","26,666","1,423",983,"1,775","5,746","2,972",594,748,680,752,"13,449","6,610","6,839","3,290",,
2007 Q4,"137,309",183,163,20,"53,717","11,779","11,749",30,"40,717","39,234","1,483",309,29,883, [x] ,681,9,71,601,"2,290","1,360",769,483,108,930,"14,338","4,333","1,540","8,465","1,559","2,331","3,409",635,531,"4,848",279,"4,569","9,106",37,439,369,"8,261","1,639","4,112","2,510",[x],"2,931","23,865","19,906","18,626","1,280","3,959","25,350","1,405",997,"1,884","5,664","2,940",604,733,636,751,"12,465","5,513","6,952","2,935",,
2008 Q1,"136,894",198,178,20,"54,581","12,114","12,084",30,"41,190","39,686","1,504",399,35,843, [x] ,572,5,61,506,"2,361","1,390",840,440,110,971,"13,714","4,415","1,564","7,735","1,604","2,001","3,369",252,509,"4,663",133,"4,530","9,701",33,441,409,"8,818","2,138","4,017","2,663",[x],"2,898","21,334","18,043","16,851","1,192","3,291","26,872","1,460","1,011","2,705","4,906","1,894",652,814,729,817,"13,879","7,396","6,483","2,911",,
2008 Q2,"142,614",209,190,19,"55,147","12,389","12,359",30,"41,457","39,924","1,533",371,44,886, [x] ,737,6,38,693,"2,371","1,356",791,452,113,"1,015","15,829","4,543","1,629","9,657","1,698","2,226","3,671","1,556",506,"4,724",92,"4,632","10,117",28,448,387,"9,254","2,292","4,251","2,711",[x],"2,883","24,747","20,397","19,179","1,218","4,350","25,850","1,448","1,024","2,315","4,325","1,822",562,673,568,700,"13,713","7,439","6,274","3,025",,
2008 Q3,"145,911",212,192,20,"55,642","12,643","12,611",32,"41,730","40,156","1,574",350,44,875, [x] ,858,17,63,778,"2,392","1,336",751,459,126,"1,056","17,612","4,571","1,730","11,311","1,651","2,270","4,826","2,077",487,"4,580",85,"4,495","9,685",28,444,470,"8,743","2,074","4,394","2,275",[x],"2,918","26,327","20,714","19,600","1,114","5,613","25,685","1,429","1,033","2,225","4,341","1,732",564,702,633,710,"13,571","7,601","5,970","3,086",,
2008 Q4,"137,334",189,166,23,"56,527","12,875","12,841",34,"42,283","40,657","1,626",460,37,872, [x] ,741,19,64,658,"2,472","1,390",807,452,131,"1,082","13,413","4,286","1,524","7,603","1,563","1,979","3,235",410,416,"4,664",195,"4,469","8,686",30,431,475,"7,750","1,584","3,854","2,312",[x],"2,978","22,413","18,626","17,377","1,249","3,787","25,251","1,331","1,040","2,204","3,752","1,619",501,571,437,624,"13,949","8,015","5,934","2,975",,
2009 Q1,"132,773",177,154,23,"56,530","13,049","13,015",34,"42,144","40,481","1,663",394,45,898, [x] ,627,12,47,568,"2,427","1,303",729,421,153,"1,124","12,695","4,153","1,598","6,944","1,591","1,628","3,148",187,390,"4,397",121,"4,276","9,467",36,441,470,"8,520","2,137","3,996","2,387",[x],"3,132","19,940","16,854","15,595","1,259","3,086","23,381","1,436","1,046","2,477","4,531","2,513",470,541,428,579,"11,071","5,168","5,903","2,820",,
2009 Q2,"137,790",170,147,23,"56,400","13,197","13,161",36,"41,905","40,196","1,709",307,39,952, [x] ,763,13,38,712,"2,462","1,290",719,408,163,"1,172","14,482","4,067","1,622","8,793","1,561","1,698","3,645","1,460",429,"4,504",105,"4,399","9,699",48,442,450,"8,759","2,239","4,166","2,354",[x],"3,226","22,765","18,803","17,560","1,243","3,962","23,319","1,477","1,052","2,382","5,261","2,536",568,738,696,723,"10,182","4,463","5,719","2,965",,
2009 Q3,"140,376",164,141,23,"56,434","13,303","13,266",37,"41,768","40,006","1,762",369,39,955, [x] ,769,17,66,686,"2,536","1,315",715,432,168,"1,221","16,324","4,053","1,730","10,541","1,582","1,759","4,706","1,982",512,"4,469",122,"4,347","9,351",63,442,449,"8,397","1,948","4,275","2,174",[x],"3,302","24,548","19,488","18,323","1,165","5,060","22,479","1,448","1,060","2,300","4,995","2,591",518,646,588,652,"9,576","3,912","5,664","3,100",,
2009 Q4,"134,082",162,135,27,"56,628","13,426","13,388",38,"41,813","39,999","1,814",394,46,949, [x] ,710,18,66,626,"2,593","1,364",726,480,158,"1,229","13,132","3,980","1,664","7,488","1,634","1,741","3,103",623,387,"4,604",251,"4,353","8,765",70,438,479,"7,778","1,641","3,907","2,230",[x],"3,334","22,352","18,753","17,406","1,347","3,599","21,802","1,414","1,069","2,405","4,427","2,635",428,478,356,530,"9,367","3,664","5,703","3,120",,
2010 Q1,"130,555",158,131,27,"57,128","13,643","13,604",39,"42,092","40,211","1,881",404,38,951, [x] ,776,8,68,700,"2,510","1,319",647,515,157,"1,191","12,706","4,103","1,815","6,788","1,652","1,531","2,964",215,426,"4,570",113,"4,457","8,864",60,427,427,"7,950","2,187","3,602","2,161",[x],"3,359","19,290","16,490","15,254","1,236","2,800","21,194","1,461","1,078","2,721","4,252","2,402",422,497,407,524,"8,668","3,110","5,558","3,014",,
2010 Q2,"141,703",169,144,25,"57,747","13,978","13,937",41,"42,395","40,471","1,924",364,40,970, [x] ,941,6,48,887,"2,519","1,311",663,493,155,"1,208","15,563","4,435","1,945","9,183","1,794","1,863","3,504","1,498",524,"4,813",121,"4,692","9,946",52,438,453,"9,003","2,411","4,305","2,287",[x],"3,369","24,037","19,766","18,460","1,306","4,271","22,599","1,591","1,089","2,727","4,968","2,456",523,679,644,666,"9,053","3,472","5,581","3,171",,
