Time period and codes,Total semi-durable goods,Clothing and footwear,Clothing materials,Garments,Other articles of clothing and clothing accessories,Shoes and other footwear,Household goods,Household textiles,Small electric household appliances,"Glassware, tableware and household appliances",Small tools and equipment,Transport,Spare parts and accessories for personal transport equipment,Recreation and culture,Recording media,"Games, toys and hobbies","Equipment for sport, camping and open-air recreation",Books,Miscellaneous,Electrical appliances for personal care,Other personal effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COICOP identifier code,TSD,TSD03,03.1.1,03.1.2,03.1.3,03.2.1,TSD05,05.2,05.3.2,05.4,05.5.2,TSD07,07.2.1,TSD09,09.1.4,09.3.1,09.3.2,09.5.1,TSD12,12.1.2,12.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDID identifier code,UTIQ,LLJL,ADUQ,ADUR,ADUS,ADUV,LLJM,ADGG,ADVQ,ADGM,ADVT,LLJN,AWTV,LLJO,ADWT,ADWY,ADWZ,CDEO,LLJP,ADXR,ADXV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 Q3,"21,365","11,200",85,"8,774",685,"1,656","3,351","1,043",173,"1,092","1,043","1,084","1,084","5,312","1,391","2,218",913,790,418,104,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 Q4,"26,932","14,155",42,"11,217",983,"1,913","4,118","1,297",382,"1,352","1,087","1,238","1,238","6,857","1,816","2,646","1,136","1,259",564,192,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008 Q1,"19,801","9,996",24,"7,899",672,"1,401","3,048",940,215,"1,014",879,"1,145","1,145","5,294","1,406","2,303",845,740,318,54,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008 Q2,"21,309","11,538",43,"9,074",741,"1,680","3,142",977,129,"1,076",960,962,962,"5,338","1,252","2,445",940,701,329,76,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008 Q3,"21,316","11,619",88,"9,136",635,"1,760","3,011",984,170,"1,010",847,"1,218","1,218","5,160","1,256","2,186",946,772,308,65,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008 Q4,"26,037","14,136",118,"11,096",940,"1,982","3,442","1,133",313,"1,111",885,"1,407","1,407","6,568","1,840","2,565",998,"1,165",484,185,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009 Q1,"19,362","10,479",68,"8,290",586,"1,535","2,811","1,026",184,802,799,"1,110","1,110","4,708","1,123","2,038",845,702,254,51,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009 Q2,"20,804","11,488",112,"8,931",621,"1,824","2,906","1,114",206,797,789,"1,152","1,152","4,939","1,055","2,218","1,030",636,319,70,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009 Q3,"20,951","11,547",107,"9,011",636,"1,793","2,881","1,171",147,791,772,"1,214","1,214","4,967","1,083","2,223",952,709,342,72,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009 Q4,"26,433","14,283",83,"11,326",790,"2,084","3,571","1,426",296,984,865,"1,324","1,324","6,762","1,689","2,822","1,031","1,220",493,127,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010 Q1,"19,243","10,357",50,"8,139",735,"1,433","2,949","1,186",176,799,788,"1,062","1,062","4,515",978,"1,947",924,666,360,46,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
